"","",""
"","",""
"Vloerverwarming/koeling tsa 2 spoorzijde","Afsluiter status regeling - Afsluiter koelen - 06-","Windheim_OS6_GRFSYS_10"
"Vloerverwarming/koeling tsa 2 spoorzijde","Afsluiter status regeling - Afsluiter verwarmen - ","Windheim_OS6_GRFSYS_8"
"Vloerverwarming/koeling tsa 2 spoorzijde","Afsluiter verwarmen percentage - Afsluiter verwarm","Windheim_OS6_GRFSYS_7"
"Vloerverwarming/koeling tsa 2 spoorzijde","Afsluiter koelen percentage - Afsluiter koelen - 0","Windheim_OS6_GRFSYS_9"
"","",""
"","",""
"Vloerverwarming/koeling tsa 3 Begane grond","Ber. aanvoertemperatuur bedrijf - Temp.regelw. koe","Windheim_OS11_GRFSYS_7"
"Vloerverwarming/koeling tsa 3 Begane grond","Ber. aanvoertemperatuur bedrijf - Temp.regelw. ver","Windheim_OS11_GRFSYS_5"
"Vloerverwarming/koeling tsa 3 Begane grond","Aanvoertemperatuur - 11-311TE01","Windheim_OS11_GRFMET_6"
"Vloerverwarming/koeling tsa 3 Begane grond","Ruimtetemperatuur - 11-311TT01","Windheim_OS11_GRFMET_8"
"Vloerverwarming/koeling tsa 3 Begane grond","Relatief ruimtevocht - 11-311MT01","Windheim_OS11_GRFMET_9"
"Vloerverwarming/koeling tsa 3 Begane grond","Retourtemperatuur - 06-311TE02","Windheim_OS11_GRFMET_7"
"Vloerverwarming/koeling tsa 3 Begane grond","Instalatiedruk sec. - 11-311PT01","Windheim_OS11_GRFMET_1"
"Vloerverwarming/koeling tsa 3 Begane grond","Afsluiter status regeling - Afsluiter verwarmen - ","Windheim_OS11_GRFSYS_9"
"Vloerverwarming/koeling tsa 3 Begane grond","Afsluiter status regeling - Afsluiter koelen - 11-","Windheim_OS11_GRFSYS_11"
"Vloerverwarming/koeling tsa 3 Begane grond","Afsluiter verwarmen percentage - Afsluiter verwarm","Windheim_OS11_GRFSYS_8"
"Vloerverwarming/koeling tsa 3 Begane grond","Afsluiter koelen percentage - Afsluiter koelen - 1","Windheim_OS11_GRFSYS_10"
"Vloerverwarming/koeling tsa 3 Begane grond","Circulatiepomp (status) - Circulatiepomp - 11-311P","Windheim_OS11_GRFSYS_24"
"","",""
"","",""
"Vloerverwarming/koeling tsa 4 Begane grond","Ber. aanvoertemperatuur bedrijf - Temp.regelw. ver","Windheim_OS12_GRFSYS_11"
